1,6,
2,7,
3,6,
4,8,
5,3,
6,3,
7,6,
8,1,
9,3,
10,5,
11,7,
12,2,
13,3,
14,8,
15,8,
16,1,
17,4,
18,7,
19,6,
20,7,
21,2,
22,5,
23,5,
24,6,
25,9,
26,5,
27,3,
28,3,
29,8,
30,8,
31,9,
32,7,
33,5,
34,4,
35,7,
36,8,
37,6,
38,8,
39,2,
40,8,
41,7,
42,4,
43,6,
44,3,
45,3,
46,4,
47,1,
48,6,
49,7,
50,5,
51,8,
52,5,
53,9,
54,9,
55,3,
56,7,
57,2,
58,6,
59,7,
60,6,
61,4,
62,6,
63,8,
64,7,
65,1,
66,4,
67,5,
68,5,
69,6,
70,5,
71,4,
72,6,
73,8,
74,8,
75,4,
76,4,
77,7,
78,4,
79,4,
80,3,
81,8,
82,8,
83,5,
84,6,
85,6,
86,5,
87,9,
88,2,
89,2,
90,4,
91,3,
92,5,
93,2,
94,6,
95,8,
96,3,
97,7,
98,4,
99,4,
100,8,
101,2,
102,3,
103,7,
104,5,
105,6,
106,8,
107,7,
108,6,
109,5,
110,5,
111,7,
112,6,
113,7,
114,5,
115,5,
116,4,
117,5,
118,6,
119,2,
120,7,
121,8,
122,2,
123,4,
124,6,
125,6,
126,8,
127,6,
128,3,
129,1,
130,7,
131,6,
132,5,
133,5,
134,4,
135,4,
136,4,
137,7,
138,2,
139,4,
140,3,
141,3,
142,6,
143,6,
144,7,
145,5,
146,5,
147,6,
148,4,
149,8,
150,3,
151,5,
152,5,
153,4,
154,6,
155,5,
156,4,
157,2,
158,4,
159,5,
160,7,
161,5,
162,3,
163,3,
164,4,
165,3,
166,2,
167,1,
168,3,
169,3,
170,6,
171,7,
172,7,
173,7,
174,4,
175,3,
176,5,
177,5,
178,4,
179,4,
180,4,
181,3,
182,6,
183,7,
184,5,
185,4,
186,6,
187,6,
188,8,
189,8,
190,7,
191,8,
192,8,
193,5,
194,3,
195,3,
196,7,
197,7,
198,5,
199,3,
200,7,
201,5,
202,6,
203,8,
204,3,
205,8,
206,2,
207,8,
208,4,
209,7,
210,2,
211,6,
212,5,
213,5,
214,2,
215,4,
216,6,
217,6,
218,1,
219,2,
220,4,
221,5,
222,5,
223,4,
224,6,
225,1,
226,1,
227,6,
228,7,
229,6,
230,9,
231,8,
232,7,
233,2,
234,7,
235,6,
236,8,
237,8,
238,2,
239,5,
240,7,
241,4,
242,8,
243,2,
244,4,
245,6,
246,8,
247,6,
248,3,
249,7,
250,5,
251,7,
252,6,
253,7,
254,7,
255,7,
256,4,
257,5,
258,5,
259,3,
260,3,
261,6,
262,6,
263,8,
264,5,
265,3,
266,4,
267,6,
268,5,
269,4,
270,8,
271,8,
272,7,
273,7,
274,8,
275,4,
276,5,
277,4,
278,3,
279,6,
280,7,
281,8,
282,7,
283,7,
284,7,
285,3,
286,9,
287,7,
288,7,
289,8,
290,6,
291,7,
292,6,
293,8,
294,4,
295,5,
296,5,
297,6,
298,6,
299,7,
300,5,
301,5,
302,4,
303,7,
304,7,
305,8,
306,3,
307,8,
308,7,
309,6,
310,8,
311,8,
312,3,
313,4,
314,4,
315,7,
316,6,
317,7,
318,8,
319,2,
320,7,
321,5,
322,5,
323,4,
324,6,
325,1,lack backswing
326,7,
327,7,
328,6,
329,7,
330,7,
331,2,
332,6,
333,7,
334,8,
335,7,
336,7,
337,6,
338,1,lack backswing
339,7,
340,8,
341,7,
342,2,
343,1,
344,2,
345,3,
346,5,
347,7,
348,6,
349,6,
350,4,
351,4,
352,4,
353,5,
354,5,
355,7,
356,6,
357,8,
358,6,
359,6,
360,7,
361,4,
362,2,
363,5,
364,8,
365,7,
366,4,
367,5,
368,4,
369,5,
370,3,
371,6,flip
372,7,
373,8,
374,2,
375,4,
376,4,
377,3,
378,6,
379,2,lack backswing
380,8,
381,3,
382,2,lack backswing
383,5,
384,6,
385,5,
386,7,
387,7,
388,5,
389,6,
390,7,
391,8,
392,7,
393,8,
394,8,
395,9,
396,7,
